,BSDIFF,,,FASTLZ,,,UNCOMPRESSED,49152,size (text),XOR,,
,SMALL,BIG,FULL,SMALL,BIG,FULL,SMALL,BIG,FULL,SMALL,BIG,FULL
,6080,11160,19115,35557,36449,23856,43962,44818,30348,42549,48252,43793
,6147,821,12432,35577,35562,35081,44020,43956,45626,45633,204,47148
,6364,10427,28735,35600,35330,36160,44112,43492,47094,46258,47233,48424
,1510,7174,13011,35607,35786,35374,44004,43946,46076,4458,9961,47208
,844,1456,12432,35560,35546,35082,43956,43946,45626,222,4505,47148
,821,11486,,35562,36312,,43956,44816,,204,48250,
,,10219,,,35138,,,43088,,,47164,
,,,,,,,,,,,,
Median,3795,10219,13011,35569.5,35562,35082,43983,43946,45626,43983,43946,45626
Mittelwert,3627.66666666667,6510.882,17145,35577.1666666667,35731.8571428571,33110.6,44001.6666666667,44008.8571428572,42954,44001.6666666667,44008.8571428572,42954
